,country,year,sex,age,suicides_no,population
326,Albania,2012,female,35-54 years,,395819.0
327,Albania,2012,female,5-14 years,,198385.0
328,Albania,2012,female,55-74 years,,259751.0
329,Albania,2012,female,75+ years,,69811.0
330,Albania,2012,male,15-24 years,,268954.0
331,Albania,2012,male,25-34 years,,194250.0
332,Albania,2012,male,35-54 years,,369536.0
333,Albania,2012,male,5-14 years,,215894.0
334,Albania,2012,male,55-74 years,,259056.0
335,Albania,2012,male,75+ years,,56701.0
336,Albania,2013,female,15-24 years,,237550.0
337,Albania,2013,female,25-34 years,,191853.0
338,Albania,2013,female,35-54 years,,397517.0
339,Albania,2013,female,5-14 years,,187558.0
340,Albania,2013,female,55-74 years,,269026.0
341,Albania,2013,female,75+ years,,71601.0
342,Albania,2013,male,15-24 years,,259826.0
343,Albania,2013,male,25-34 years,,204491.0
344,Albania,2013,male,35-54 years,,372005.0
345,Albania,2013,male,5-14 years,,204865.0
346,Albania,2013,male,55-74 years,,267905.0
347,Albania,2013,male,75+ years,,59113.0
348,Albania,2014,female,15-24 years,,224883.0
349,Albania,2014,female,25-34 years,,195460.0
350,Albania,2014,female,35-54 years,,399197.0
351,Albania,2014,female,5-14 years,,177838.0
352,Albania,2014,female,55-74 years,,278887.0
353,Albania,2014,female,75+ years,,73945.0
354,Albania,2014,male,15-24 years,,250345.0
355,Albania,2014,male,25-34 years,,213828.0
356,Albania,2014,male,35-54 years,,373493.0
357,Albania,2014,male,5-14 years,,194554.0
358,Albania,2014,male,55-74 years,,277604.0
359,Albania,2014,male,75+ years,,61678.0
360,Albania,2015,female,15-24 years,,212324.0
361,Albania,2015,female,25-34 years,,199024.0
362,Albania,2015,female,35-54 years,,400275.0
363,Albania,2015,female,5-14 years,,168140.0
364,Albania,2015,female,55-74 years,,289055.0
365,Albania,2015,female,75+ years,,76861.0
366,Albania,2015,male,15-24 years,,240777.0
367,Albania,2015,male,25-34 years,,222680.0
368,Albania,2015,male,35-54 years,,374464.0
369,Albania,2015,male,5-14 years,,184114.0
370,Albania,2015,male,55-74 years,,287770.0
371,Albania,2015,male,75+ years,,64200.0
372,Anguilla,1983,female,15-24 years,0.0,
373,Anguilla,1983,female,25-34 years,0.0,
374,Anguilla,1983,female,35-54 years,0.0,
375,Anguilla,1983,female,5-14 years,0.0,
376,Anguilla,1983,female,55-74 years,0.0,
377,Anguilla,1983,female,75+ years,0.0,
378,Anguilla,1983,male,15-24 years,0.0,
379,Anguilla,1983,male,25-34 years,0.0,
380,Anguilla,1983,male,35-54 years,0.0,
381,Anguilla,1983,male,5-14 years,0.0,
382,Anguilla,1983,male,55-74 years,0.0,
383,Anguilla,1983,male,75+ years,0.0,
384,Anguilla,1984,female,15-24 years,0.0,
385,Anguilla,1984,female,25-34 years,0.0,
386,Anguilla,1984,female,35-54 years,0.0,
387,Anguilla,1984,female,5-14 years,0.0,
388,Anguilla,1984,female,55-74 years,0.0,
389,Anguilla,1984,female,75+ years,0.0,
390,Anguilla,1984,male,15-24 years,0.0,
391,Anguilla,1984,male,25-34 years,0.0,
392,Anguilla,1984,male,35-54 years,0.0,
393,Anguilla,1984,male,5-14 years,0.0,
394,Anguilla,1984,male,55-74 years,0.0,
395,Anguilla,1984,male,75+ years,0.0,
396,Anguilla,1985,female,15-24 years,0.0,
397,Anguilla,1985,female,25-34 years,0.0,
398,Anguilla,1985,female,35-54 years,0.0,
399,Anguilla,1985,female,5-14 years,0.0,
400,Anguilla,1985,female,55-74 years,0.0,
401,Anguilla,1985,female,75+ years,0.0,
402,Anguilla,1985,male,15-24 years,0.0,
403,Anguilla,1985,male,25-34 years,0.0,
404,Anguilla,1985,male,35-54 years,0.0,
405,Anguilla,1985,male,5-14 years,0.0,
406,Anguilla,1985,male,55-74 years,0.0,
407,Anguilla,1985,male,75+ years,0.0,
408,Anguilla,1986,female,15-24 years,0.0,
409,Anguilla,1986,female,25-34 years,0.0,
410,Anguilla,1986,female,35-54 years,0.0,
411,Anguilla,1986,female,5-14 years,0.0,
412,Anguilla,1986,female,55-74 years,0.0,
413,Anguilla,1986,female,75+ years,0.0,
414,Anguilla,1986,male,15-24 years,0.0,
415,Anguilla,1986,male,25-34 years,0.0,
416,Anguilla,1986,male,35-54 years,0.0,
417,Anguilla,1986,male,5-14 years,0.0,
418,Anguilla,1986,male,55-74 years,0.0,
419,Anguilla,1986,male,75+ years,0.0,
420,Anguilla,1987,female,15-24 years,0.0,
421,Anguilla,1987,female,25-34 years,0.0,
422,Anguilla,1987,female,35-54 years,0.0,
423,Anguilla,1987,female,5-14 years,0.0,
424,Anguilla,1987,female,55-74 years,0.0,
425,Anguilla,1987,female,75+ years,0.0,
426,Anguilla,1987,male,15-24 years,0.0,
427,Anguilla,1987,male,25-34 years,0.0,
428,Anguilla,1987,male,35-54 years,0.0,
429,Anguilla,1987,male,5-14 years,0.0,
430,Anguilla,1987,male,55-74 years,0.0,
431,Anguilla,1987,male,75+ years,0.0,
432,Anguilla,1988,female,15-24 years,0.0,
433,Anguilla,1988,female,25-34 years,0.0,
434,Anguilla,1988,female,35-54 years,0.0,
435,Anguilla,1988,female,5-14 years,0.0,
436,Anguilla,1988,female,55-74 years,0.0,
